addrtype,location,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,seriousinjuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,speeding,st_colcode,st_coldesc,crosswalkkey,hitparkedcar,state,latitude,longitude
Block,FAIRVIEW AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,2,Injury Collision,Cycles,3,0,1,2,1,0,0,2019-02-21T00:00:00.000Z,2/21/2019 5:39:00 PM,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,Y,Clear or Partly Cloudy,Dry,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.6267500825094,-122.33340509443424
Intersection,RAINIER AVE S AND STURTEVANT AVE S,3,Fatality Collision,Cycles,2,0,1,1,0,0,1,2019-02-25T00:00:00.000Z,2/25/2019 4:26:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.51985502326705,-122.26869660057228
Intersection,12TH AVE S AND S KING ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-02-19T00:00:00.000Z,2/19/2019 5:48:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Wet,Dusk,,,5,Vehicle Strikes Pedalcyclist,524787,N,Washington,47.598337593315385,-122.31722797859959
Intersection,2ND AVE AND CHERRY ST,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2019-03-02T00:00:00.000Z,3/2/2019 6:09:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.60301939344011,-122.33317224593478
Intersection,8TH AVE AND JAMES ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-10-11T00:00:00.000Z,10/11/2018 9:25:00 AM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.60509000422416,-122.3258596212277
Intersection,BROADWAY AND E UNION ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-02-26T00:00:00.000Z,2/26/2019 3:08:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.612963362786935,-122.32076237817628
Intersection,10TH AVE E AND E MILLER ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-02-26T00:00:00.000Z,2/26/2019 3:40:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.641355010445906,-122.320058803595
Intersection,DEXTER AVE N AND ALOHA ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2019-01-29T00:00:00.000Z,1/29/2019 4:20:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.627138383473216,-122.34232660384295
Intersection,DEXTER AVE N AND MERCER ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-01-10T00:00:00.000Z,1/10/2019 6:44:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.62454972661586,-122.34234960108273
Block,S JACKSON ST BETWEEN 9TH AVE S AND 10TH AVE S,2b,Serious Injury Collision,Pedestrian,3,0,1,1,1,1,0,2019-01-24T00:00:00.000Z,1/24/2019 7:32:00 PM,Mid-Block (not related to intersection),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,,Y,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,4,Vehicle hits Pedestrian - All Other Actions,0,N,Washington,47.599187341522,-122.32033398956128
