block_intersection,severity_code,collision_type,person_count,ped_count,pedcyl_count,veh_count,junction_type,sdot_coldesc,in_attention,under_infl,weather,road_cond,light_cond,ped_right_way,speeding,s._col_desc,crosswalkkey,hit_parked_car,latitude,longitude
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.61296336278694,-122.32076237817628
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,1,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.641355010445906,-122.320058803595
1,1,Cycles,3,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.627138383473216,-122.34232660384295
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Raining,Wet,Dark - Street Lights On,0,0,Vehicle Strikes Pedalcyclist,0,0,47.62454972661586,-122.34234960108273
0,2,Pedestrian,3,0,1,1,Mid-Block (not related to intersection),MOTOR VEHCILE STRUCK PEDESTRIAN,0,1,Clear or Partly Cloudy,Dry,Dark - Street Lights On,0,0,Vehicle hits Pedestrian - All Other Actions,0,0,47.599187341522,-122.32033398956129
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Overcast,Wet,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.60729905819726,-122.33708679815666
1,1,Cycles,3,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,1,0,47.571420865588465,-122.32907749711175
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.628924300094155,-122.33100164147018
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,0,0,Unknown,Unknown,Daylight,0,0,Vehicle - Pedalcyclist,0,0,47.62263838004219,-122.34236643866664
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,1,0,Vehicle - Pedalcyclist,0,0,47.6336931487632,-122.3422833515234
